lambda n k
4.61e-07 1.5168789667680014 0.06431795318289091
4.62e-07 1.5173196087884302 0.06294800926376391
4.63e-07 1.517771724892392 0.0615942049950081
4.64e-07 1.5182361073375024 0.060256751978593676
4.65e-07 1.518713673284312 0.058935848039660496
4.66e-07 1.5192054837230498 0.05763167730742183
4.67e-07 1.5197127645764386 0.05634441031645583
4.68e-07 1.5202369300773286 0.05507420412851508
4.69e-07 1.5207796084896852 0.053821202475123696
4.7e-07 1.5213426702022668 0.05258553592140233
4.71e-07 1.5219282581752107 0.05136732205175923
4.72e-07 1.5225388206598833 0.05016666567832146
4.73e-07 1.5231771460411965 0.04898365907325331
4.74e-07 1.5238463995687768 0.04781838222642884
4.75e-07 1.5245501616487696 0.04667090313029286
4.76e-07 1.5252924672621775 0.045541278094169746
4.77e-07 1.5260778459591051 0.04442955209076361
4.78e-07 1.5269113617525558 0.04333575913814842
4.79e-07 1.5277986521023834 0.042259922721171295
4.8e-07 1.5287459650421913 0.04120205625690388
4.81e-07 1.5297601933626197 0.04016216360956608
4.82e-07 1.530848904627512 0.0391402396612399
4.83e-07 1.5320203656694347 0.038136270945669105
4.84e-07 1.533283560093191 0.03715023635353654
4.85e-07 1.5346481972160677 0.03618210791879959
4.86e-07 1.536124710797829 0.03523185169696629
4.87e-07 1.5377242458684073 0.03429942874761132
4.88e-07 1.539458631953478 0.03338479623493917
4.89e-07 1.5413403410342088 0.03248790866182543
4.9e-07 1.5433824286635194 0.03160871925447014
4.91e-07 1.5455984568027739 0.0307471815165899
4.92e-07 1.5480023971444294 0.029903250973921724
4.93e-07 1.5506085139511367 0.029076887131698887
4.94e-07 1.553431225771748 0.02826805566966321
4.95e-07 1.5564849457895185 0.027476730901046284
4.96e-07 1.559783901015095 0.026702898523766377
4.97e-07 1.563341931051931 0.025946558693774893
4.98e-07 1.5671722677273179 0.025207729452009983
4.99e-07 1.571287297488279 0.02448645053769384
5e-07 1.5756983090957069 0.023782787621678066
5.01e-07 1.5804152297971183 0.02309683699412253
5.02e-07 1.5854463538010446 0.022428730740884036
5.03e-07 1.5907980674949305 0.0217786424425128
